City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Vredendal,ZA,2022-05-17 20:55:51,-31.6683,18.5012,74.59,24,100,7.87
201,Orizari,MK,2022-05-17 20:55:51,41.9228,22.4469,63.0,77,69,0.96
202,Sao Filipe,CV,2022-05-17 20:55:52,14.8961,-24.4956,76.48,68,100,4.99
203,Plast,RU,2022-05-17 20:55:52,54.3691,60.8136,46.69,85,45,9.73
204,Kirakira,SB,2022-05-17 20:55:53,-10.4544,161.9205,81.66,77,14,3.47
205,Veraval,IN,2022-05-17 20:55:53,20.9,70.3667,82.53,74,0,12.19
206,Peniche,PT,2022-05-17 20:55:54,39.3558,-9.3811,66.07,93,100,4.29
207,Lasa,IT,2022-05-17 20:55:54,46.6166,10.7002,56.53,82,47,5.73
208,Tuktoyaktuk,CA,2022-05-17 20:55:55,69.4541,-133.0374,30.2,86,100,12.66
209,Novosil,RU,2022-05-17 20:55:56,52.9739,37.0405,41.77,95,99,11.63
210,Kahului,US,2022-05-17 20:55:57,20.8947,-156.47,82.98,67,28,2.55
211,Sakaiminato,JP,2022-05-17 20:55:57,35.55,133.2333,51.78,93,20,6.91
212,Nemuro,JP,2022-05-17 20:54:35,43.3236,145.575,45.28,95,98,10.89
213,Lazurne,UA,2022-05-17 20:55:58,46.084,32.5295,60.08,82,100,8.16
214,Puerto Leguizamo,CO,2022-05-17 20:55:59,-0.1934,-74.7819,70.86,100,100,3.33
215,Comodoro Rivadavia,AR,2022-05-17 20:55:59,-45.8667,-67.5,55.26,62,0,11.5
216,Sosnovo-Ozerskoye,RU,2022-05-17 20:56:00,52.5249,111.5418,44.89,79,25,7.38
217,Olafsvik,IS,2022-05-17 20:56:00,64.8945,-23.7142,50.83,73,81,9.46
218,Moorhead,US,2022-05-17 20:56:01,46.8739,-96.7676,64.42,55,0,6.91
219,Kavaratti,IN,2022-05-17 20:56:02,10.5669,72.642,80.8,87,100,20.38
220,Castro,BR,2022-05-17 20:56:02,-24.7911,-50.0119,44.13,61,5,12.03
221,Slave Lake,CA,2022-05-17 20:56:03,55.2834,-114.769,53.58,43,0,8.05
222,Bengkulu,ID,2022-05-17 20:57:03,-3.8004,102.2655,76.33,89,11,3.8
223,Porto Walter,BR,2022-05-17 20:57:04,-8.2686,-72.7439,74.41,72,100,4.27
224,Porto Santo,PT,2022-05-17 20:57:05,33.072,-16.3415,68.38,83,20,4.61
225,Xai-Xai,MZ,2022-05-17 20:57:05,-25.0519,33.6442,67.69,85,21,4.45
226,Los Llanos De Aridane,ES,2022-05-17 20:57:07,28.6585,-17.9182,65.95,92,75,13.8
227,Kanigoro,ID,2022-05-17 20:57:07,-8.13,112.219,73.04,93,76,2.44
228,Hazorasp,UZ,2022-05-17 20:57:08,41.3194,61.0742,67.84,45,67,13.98
229,Cockburn Town,TC,2022-05-17 20:57:08,21.4612,-71.1419,80.04,82,83,8.99
230,Ampanihy,MG,2022-05-17 20:57:09,-24.7,44.75,65.43,86,18,13.02
231,Labuhan,ID,2022-05-17 20:57:09,-6.8844,112.2051,78.06,89,97,6.51
232,Fairbanks,US,2022-05-17 20:57:10,64.8378,-147.7164,52.83,54,20,5.75
233,Kuryk,KZ,2022-05-17 20:57:10,43.2,51.65,62.51,57,74,7.83
234,Port Blair,IN,2022-05-17 20:57:11,11.6667,92.75,78.84,94,100,2.3
235,Marolambo,MG,2022-05-17 20:57:12,-20.05,48.1167,59.63,98,55,3.36
236,Burgos,ES,2022-05-17 20:56:08,42.3394,-3.7079,64.81,77,0,4.61
237,Saskylakh,RU,2022-05-17 20:57:13,71.9167,114.0833,7.74,99,100,2.73
238,Okakarara,NA,2022-05-17 20:57:13,-20.5833,17.4333,59.4,45,61,6.71
239,Vostok,RU,2022-05-17 20:57:14,46.4856,135.8833,46.31,87,98,4.0
240,Sarreguemines,FR,2022-05-17 20:56:21,49.0833,7.3333,65.05,69,40,4.65
241,Mbeya,TZ,2022-05-17 20:57:15,-8.9,33.45,52.12,92,18,5.93
242,Dicabisagan,PH,2022-05-17 20:57:16,17.0818,122.4157,77.97,89,100,1.66
243,Vila Velha,BR,2022-05-17 20:57:16,-20.3297,-40.2925,76.95,88,75,11.5
244,Port Alfred,ZA,2022-05-17 20:57:17,-33.5906,26.891,72.25,47,0,8.19
245,Longyearbyen,SJ,2022-05-17 20:57:17,78.2186,15.6401,30.04,74,40,5.75
246,Novosergiyevka,RU,2022-05-17 20:57:18,52.0934,53.6528,48.33,90,100,8.66
247,Puerto Escondido,MX,2022-05-17 20:57:19,15.85,-97.0667,89.82,51,77,9.13
248,Port Elizabeth,ZA,2022-05-17 20:54:13,-33.918,25.5701,59.29,72,0,2.3
249,Karratha,AU,2022-05-17 20:57:20,-20.7377,116.8463,72.59,91,86,8.46
250,Amazar,RU,2022-05-17 20:57:22,53.858,120.875,39.83,61,6,1.03
251,Moron,AR,2022-05-17 20:57:05,-34.6534,-58.6198,56.97,75,100,15.03
252,Narsaq,GL,2022-05-17 20:57:24,60.9167,-46.05,42.55,78,26,4.9
253,Klaksvik,FO,2022-05-17 20:57:24,62.2266,-6.589,49.12,99,100,14.92
254,Rudbar,AF,2022-05-17 20:57:25,30.15,62.6,85.75,12,0,2.44
255,Cartagena,CO,2022-05-17 20:56:05,10.3997,-75.5144,83.82,84,75,4.61
256,Ilulissat,GL,2022-05-17 20:57:26,69.2167,-51.1,29.62,84,7,5.08
257,Damietta,EG,2022-05-17 20:57:26,31.4165,31.8133,69.69,73,0,7.65
258,Mahebourg,MU,2022-05-17 20:57:27,-20.4081,57.7,73.69,64,20,10.36
259,Namatanai,PG,2022-05-17 20:57:28,-3.6667,152.4333,80.24,80,6,6.06
260,Ibateguara,BR,2022-05-17 20:57:28,-8.9725,-35.9394,71.47,96,99,5.26
261,Alabino,RU,2022-05-17 20:57:29,55.5268,37.0103,48.06,81,0,13.42
262,Port Moresby,PG,2022-05-17 20:57:31,-9.4431,147.1797,71.02,100,20,5.75
263,Grindavik,IS,2022-05-17 20:57:31,63.8424,-22.4338,53.55,76,75,12.66
264,Hamilton,US,2022-05-17 20:57:32,39.1834,-84.5333,81.23,35,4,8.99
265,Flinders,AU,2022-05-17 20:57:32,-34.5833,150.8552,57.18,59,0,8.99
266,Lebu,CL,2022-05-17 20:57:33,-37.6167,-73.65,55.96,61,38,2.91
267,Bambous Virieux,MU,2022-05-17 20:57:34,-20.3428,57.7575,73.65,64,20,10.36
268,Son La,VN,2022-05-17 20:57:34,21.3167,103.9,64.27,87,99,1.77
269,Tilichiki,RU,2022-05-17 20:57:35,60.4667,166.1,31.8,100,100,0.45
270,Caldwell,US,2022-05-17 20:58:36,43.6629,-116.6874,73.78,35,0,7.0
271,Haverfordwest,GB,2022-05-17 20:58:36,51.8017,-4.9691,54.05,91,37,3.0
272,Isangel,VU,2022-05-17 20:58:37,-19.55,169.2667,77.86,82,95,16.26
273,Havre-Saint-Pierre,CA,2022-05-17 20:58:38,50.2334,-63.5986,43.16,93,100,20.71
274,Kassala,SD,2022-05-17 20:58:39,15.451,36.4,94.55,16,1,8.34
275,Arauco,CL,2022-05-17 20:58:22,-37.2463,-73.3175,58.66,56,11,2.95
276,Riyadh,SA,2022-05-17 20:56:41,24.6877,46.7219,82.54,16,0,6.33
277,Cherskiy,RU,2022-05-17 20:58:41,68.75,161.3,44.82,79,81,8.3
278,Copperas Cove,US,2022-05-17 20:58:41,31.1241,-97.9031,98.29,31,67,18.01
279,Sfantu Gheorghe,RO,2022-05-17 20:58:44,45.8667,25.7833,59.67,97,100,2.15
280,Bhaderwah,IN,2022-05-17 20:58:45,32.9784,75.7186,56.91,68,5,2.8
281,Niquelandia,BR,2022-05-17 20:58:46,-14.4739,-48.4597,80.22,47,84,5.93
282,Cayenne,GF,2022-05-17 20:58:46,4.9333,-52.3333,82.09,1,75,8.01
283,Clonmel,IE,2022-05-17 20:58:47,52.355,-7.7039,54.97,91,87,15.46
284,Takanabe,JP,2022-05-17 20:58:49,32.1333,131.5,58.32,58,100,4.52
285,Ostrov,RU,2022-05-17 20:58:50,57.3439,28.3537,44.33,82,100,11.56
286,Baruun-Urt,MN,2022-05-17 20:58:50,46.6806,113.2792,53.24,26,91,5.84
287,Codrington,AU,2022-05-17 20:58:51,-38.2667,141.9667,52.21,69,99,17.38
288,Leshukonskoye,RU,2022-05-17 20:58:52,64.8989,45.7622,33.1,83,100,6.31
289,Bonfim,BR,2022-05-17 20:58:53,3.0833,-59.95,80.11,85,100,3.06
290,Sindor,RU,2022-05-17 20:58:55,62.8629,51.8905,36.01,82,100,5.37
291,Vestmanna,FO,2022-05-17 20:58:55,62.1564,-7.1664,47.32,93,75,13.8
292,Babati,TZ,2022-05-17 20:58:56,-4.2167,35.75,62.01,79,88,2.66
293,Half Moon Bay,US,2022-05-17 20:58:57,37.4636,-122.4286,81.88,66,0,17.27
